,eb0d,Aaron,Arão
,ecd7,Abaddon,Abadom
,ea96,Abel,Abel
,e35f,Abiathar,Abiatar
,e17b,abide,permanecer
,ea5b,Abijah,Abías
,ec4d,Abilene,Abilene
,e124,ability,habilidade
,ea6a,Abiud,Abiúde
,e0a4,abomination,abominação
,e11b,about,cerca_de
,e110,above,acima_de
,e373,Abraham,Abraâo
,ec4e,Abyss,Abismo
,e24d,according_to,de_acordo_com
,e055,accuse,acusar
,eb7c,Achaia,Acaia
,eca5,Achaicus,Acaico
,ea6e,Achim,Aquim
,ec4f,Adam,Adão
,ec50,Addi,Adi
,ec51,Admin,Admin
,e177,adopt,adotar
,e177,adoption,adoção
,eb93,Adramyttium,Adramitino
,ec17,Adriatic_Sea,Mar_Adriático
,e027,adultery,Adultério
,ec2a,Aeneas,Eneias
,eba1,Aenon,Enom
,e056,afraid,com_medo
,e11d,after,depois_de
,eb89,Agabus,Ágabo
,e330,against,contra
,eb9d,Agrippa,Agripa
,ea61,Ahaz,Acaz
,e312,air,ar
,e0d4,alabaster,alabastro
,ea14,Alexander,Alexander
,eb5a,Alexandria,Alexandria
,e09f,alive,vivo
,e251,all,todos
,e04a,allow,permitir
,e223,alone,sozinho
,ec24,Alphaeus,Alfeu
,ea3c,altar,altar
,e252,always,sempre
,e14a,amazed,pasmados
,e14a,amazing,assombroso
 ,ebfd,ambassador,embaixador
,e100,amen,Amém
,ea51,Amminadab,Aminadabe
,ea64,Amon,Amom
,ec47,Amos,Amós
,eb2e,Amphipolis,Anfípolis
,ebb9,Ampliatus,Ampliatus
,eb65,Ananias,Ananias
,ec80,ancestor,antepassado
,e11c,and,e
,e357,Andrew,André
,ebba,Andronicus,Andrônico
,e0a7,angel,anjo
,e204,anger,raiva
,e204,angry,bravo
,e102,animal,animal
,eb02,Anna,Anás
,eb63,Annas,Anás
,e033,anointed,ungido
,ebf2,another,mais_um
,ed0e,Antichrist,Anticristo
,eb58,Antioch,Antioquia
,ec01,Antipas,Antipas
,eb9a,Antipatris,Antipátride
,ebbb,Apelles,Apeles
,eb30,Apollonia           ,Apolonia
,eb3e,Apollos,Apolo
,ebef,apostle,apóstolo
,e162,appear,aparecer
,ecf1,Apphia,Áfia
,e041,appointed,nomeado
,ecd7,Appolyon,Appolyon
,eb17,Aquila,Áquila
,eb77,Arabia,Arábia
,ece7,Archippus,Arquipo
,ec35,Areopagus,Areopagus
,eca6,Aretas,Aretas
,e057,argument,argumento
,e34d,Arimathea,Arimateia
,e322,arise,Levantar-se
,ec10,Aristarchus,Aristarco
,ebbc,Aristobulus,Aristóbulo
,e14e,arm,braço
,ebbd,armor,armaduras
,e148,army,exército
,ec52,Arni,Arni
,e31b,around,ao_redor
,ec53,Arphaxad,Arfaxade
,e25f,arrest,prender
,ecbf,arrow,seta
,ec34,Artemas,Ártemas
,ea5c,Asa,Asa
,e322,ascend,ascender
,ea90,ash,cinza
,e05f,ashamed,envergonhado
,ebde,Asher,Aser
,ebdd,Ashhur               ,Terra_de_Aser
,eb6f,Asia,Ásia
,e061,ask,pergunta
,eb20,Assos,Assôs
,e070,assurance,certeza
,ebbe,Asyncritius,Asyncritius
,eb07,Athens,Atenas
,eb31,Attalia,Atália
,e150,attendant,assitente
,e12c,author ,autor
,e034,authority,autoridade
,ed0c,avenge,Vingar-se
,ec54,awake,desperto
,e11e,away,longe
,ea6c,Azor,Azor
,eb7e,Azotus,Azoto
,ebbf,Baal,Baal
,e0a6,baby,bebê
,ea67,Babylon,Babilônia
,e325,backward,em_sentido_contrário
,e17d,bad,mau
,e26f,bag,saco
,eca1,Balaam,Balaão
,ebff,Balak,Balaque
,ec55,bank,banco
,e24a,baptism,batismo
,e24a,baptize,batizar
,ec89,Bar_Jesus_not_Christ,Bar_Jesus_não_Cristo
,e36d,Barabbas,Barrabás
,ea97,Barachiah,Baraquias
,ed02,Barak,Baraque
,ec2f,Barnabas,Barnabé
,eb69,Barsabbas,Barsabbas
,e362,Bartholomew,Bartolomeu
,e36b,Bartimaeus,Bartimaeus
,e19f,basket,cesta
,e283,battle,batalha
,ecef,bear,suportar
,e227,bear_with,tolerar
,e103,beast,besta
,e0e4,beat,batimento
,ea4a,beautiful,belo
,ea4a,beauty,beleza
 ,e066,because,porque
,e040,beckon,acenar
,e83a,become_person,Tornar-se_pessoa
,e839,become_thing,Tornar-se_uma_coisa
,e122,bed,cama
 ,e335,Beelzebul,Beelzebul
,e107,before,antes
,e21e,beg,implorar
,e231,beginning,começar
,e116,behind,atrás
,e06f,believe,crer
,eb90,Believer,Crente
,e29d,belt,cinto
,eb4b,Benjamin,Benjamim
,eda3,Beor,Beor
,eb13,Berea,Bereia
,eb9e,Bernice,Berenice
,e117,beside,ao_lado
,e21f,best,melhor
,e349,Bethany,Beânia
,eba0,Bethesda,Betesda
,ea45,Bethlehem,Belém
,e348,Bethphage,Betfagé
,e340,Bethsaida,Betsaida
,e195,betray,trair
,e195,betrayal,traição
,e09e,better,melhor
,e118,between ,entre
,e22c,Bible,Bíblia
,e120,big,grande
,e25c,bird,pássaro
,e235,birth,nascimento
,eb48,Bithynia,Bitínia
,ecd2,bitter,amargo
,eb86,black,preto
,e05b,blaspheme,blasfemar
,e05b,blasphemy,blasfêmia
,eb8d,Blastus,Blasto
,ed01,blemish,defeito
,e05c,bless,abençoar
,ea21,blessed,abençoado
,e05c,blessing,bênção
,e192,blind,cego
,e087,blood,sangue
,ecda,blue,azul
,e14b,boast,alardear
,e265,boat,barco
,ea54,Boaz,Boaz
 ,e143,body,corpo
,e0b2,bone,osso
,e22a,book,livro
,e235,born,nascer
,e119,bottom,fundo
,e25f,bound,limite
,e210,bow,arco
,ecc8,bow_arrow,Arco-flecha
,e384,bowl,taça
,e29e,box,caixa
,e001,boy,menino
,e002,boys,meninos
,e246,branch,ramificar
,e196,brave,valente
,e05d,bread,pão
,e0e1,break,partir
,ecd5,breastplate,peitoral
,ecee,breath,fõlego
,ecee,breathe,respirar
,ebdb,bribe,subornar
,e015,bride,noiva
,e21b,bright,brilhante
,e088,bring,trazer
,eb2c,bronze,bronze
,e006,brother,irmão
,e007,brothers,irmãos
,e17a,build,edificar
,e0a1,building,edificando
,ec86,burden,fardo
,ecd0,burn,queimar
,ecd0,burnt,queimado
,e0d7,bury,enterrar
,e11a,but,porêm
,e32a,buy,comprar
,e370,Caesar,César
,e346,Caesarea,Cesareia
,ea77,Caiaphas,Caifás
,ec56,Cain,Caim
,ec56,Cainan,Cainã
,e040,call,ligar
,e29f,camel,camelo
,e124,can,pode
,eba2,Cana,Caná
,e33d,Canaan_land,Canaã
,eb85,Candace,Candace
,e33a,Capernaum,Cafarnaum
,eb74,Cappadocia,Capadócia
,e19e,careful,cuidado
,e14f,carpenter,carpintero
,ecad,Carpus,Carpo
,e088,carry,carregar
,ec87,case,caso
,e115,catch,pegar
,ec36,Cauda,Cauda
,eb3d,Cenchrea,Cencreia
,e0b8,census,censo
,eb7a,centurion,centurião
,e356,Cephas,Cefas
,ec88,ceremony,cermônia
,e25f,chain,cadeia
,e298,chair,cadeira
,eb0e,Chaldea,Caldéia
,e31e,change,mundança
,e230,chapter,capítulo
,ec82,chariot,carruagem
,e200,child,criança
,e201,children,crianças
,eb22,Chios,Quios
,ebe2,Chloe,Cloé
,e021,choose,escolher
,ea8f,Chorazin,Corazim
,e334,Christ,Cristo
,eb90,Christian,Cristão
,ebfc,church,igreja
,ec57,Chuza,Cuza
,eb5b,Cilicia,Cilícia
,e250,circumcise,circuncidar
,e250,circumcision,circuncisão
,eb98,citizen,cidadão
,ec36,Clauda,Cauda
,ecae,Claudia,Cláudia
,eb8a,Claudius,Cláudio
,ebec,clay,argila
,e248,clean,limpo
,ece3,Clement,Clemente
,ec58,Cleopas,Cleopas
,ea76,cloak,capa
,ebb5,Clopas,Clopas
,e300,close,fechar
,e23f,closed,fechado
,e147,clothe,vestir
,e253,clothing,roupas
,e26e,cloud,nuvem
,ec14,Cnidus,Cnido
,e148,cohort,Coorte
,e0f2,cold,frio
,e284,color,Cor
,ece8,Colossae,Colossa
,e25a,come   ,vir
,e243,come_out,sair
,ea3b,comfort,conforto
,e058,command,comando
,e22f,commandment,mandamento
,e01a,compassion,compaixão
,ecec,complete,completo
,ea7f,condemn,condenar
,ea7f,condemnation,condenação
,e03f,confession,confissão
,e070,confidence,confiança
,eb08,confuse,confundir
,e049,continue,continuar
,e332,control,controlar
,e83a,convert,converter
,ea59,Corinth,Corinto
,eb81,Cornelius,Cornélio
,eb83,corner,esquina
,e21c,cornerstone,A_pedra_angular
,e09a,correct,corrigir
  ,ec59,Cosam,Cosã
,eb5f,couch,sofá
,e0f7,council,concílio
,ebc0,counted,contado
,e0a2,country,país
,e157,countrymen,compatriotas
,eb96,countryside,região_rural
,e196,courage,coragem
,e0f6,courtyard,pátio
,e21d,covenant,pacto
,e39a,cover,cobrir
,e022,covet,cobiçar
,eb36,cow,vaca
,e076,create,criar
,ebc3,creation,criação
,ec22,Creator,Criador
,ebc0,credit,crédito
,ecaf,Crescan,Crescan
,ec8d,Crete,Creta
,eb3a,Crispus,Crispo
,e055,criticize,criticar
,eb39,crooked,torcido
,e038,cross,cruz
,e128,crowd,multidão
,eda4,crown,coroa
,e03c,crucify,crucificar
,e146,crush,esmagar
,e20c,cry,chorar
,e274,cup,copo
,e05a,curse,maldição
,e254,curtain,cortina
,ec32,Cush,Cuxe
,e26c,cushion,amortecer
,eb10,custom,costume
,e24e,cut,cortar
,ebe3,cymbal,címbalo
,eb88,Cyprus,Chipre
,eb59,Cyrene,Cirene
,e344,Dalmanutha,Dalmanuta
,ecb1,Dalmatia,Dalmatía
,eb37,Damaris,Dâmaris
,ec31,Damascus,Damasco
,e259,dance,danzar
,ea78,Daniel,Daniel
,ea17,dark,escuro
,e00c,daughter,filha
,e00d,daughters,filhas
,e35e,David,Davi
,e15f,day,dia
,e120,deacon,diácono
,e181,dead,morto
,e191,deaf,surdo
,e181,death,morte
,e33e,Decapolis,Decápolis
,e17f,deceive,enganar
,e152,deceiver,enganador
,e17f,deception,deceição
,e321,deep,profundo
,ecb2,Demes,Demes
,eb1a,Demetrius,Demétrio
,eb87,demon,demônio
,e165,denarius,denário
,e0e5,deny,negar
,e243,depart,partir
,e321,depth,profundidade
,eb43,Derbe,Derbe
,e317,descend,descer
,eb60,descendant,descendente
,e156,desert,deserto
,e0f5,deserve,merecer
,e020,desire,desejo
,e141,destroy,destruir
,e141,destruction,destruição
,ebb6,Didymus,Dídimo
,e181,die,morrer
,ecff,different,diferente
,e093,difficult,difícil
,e04b,dignify,dignificar
,eb78,Dionysius,Dionísio
  ,ece2,Diotrephes,Diótrefes
,e323,direction,direção
,e15b,dirt,sujeira
,e249,dirty,sujo
,e142,disciple,discípulo
,eda5,discipline,disciplina
,e261,discourage,desencorajar
,e20a,disease,doença
 ,e384,dish,prato
,e193,disobedience,desobediência
,e193,disobey,desobedecer
,e326,divide,dividir
,e326,division,divisão
,ea3d,divorce,divórcio
,e08c,do,fazer
,e144,doctor,médico
,e104,dog,cão
,e032,dominion,domínio
,ea09,donkey,asno
,e23e,door,porta
,ec2c,Dorcas,Dorcas
,e194,doubt,dúvida
,ea36,dough,massa
,e25e,dove,pomba
,e319,down,baixo
,ecdf,dragon,dragão
,ea80,dream,sonhar
,e274,drink,beber
,ebe3,drum,tambor
,ea8d,drunk,bêbado
,eb9c,Drusilla,Drusila
,e188,dry,seco
,e15d,dust,poeira
,e17b,dwell,habitar
,ecc9,eagle,águia
,e299,ear,orelha
,e0f5,earn,ganhar
,e153,earth,terra
,e159,earthquake,terremoto
,ea38,east,leste
,e092,easy,fácil
,e053,eat,comer
,ec5a,Eber  ,Héber
,ea44,Egypt,Egito
,e293,eight,oito
,eb6d,Elam_land           ,Elão
,eb62,elder,anciãos
,ea70,Eleazar,Eleazar
,ec9f,elect,eleger
  ,ec44,Eli,Eli
,ea6b,Eliakim,Eliaquim
,ec5b,Eliezer,Eliézer
,e36a,Elijah,Elias
,ec5c,Elisha,Eliseu
,ea6f,Eliud,Eliúde
,ec3a,Elizabeth,Isabel
,ec5d,Elmadam,Elmadã
,ec5e,Emmaus,Emaús
,eb5d,Emmor,Hamor
,e277,empty,esvaziar
,e262,encourage,encorajar
,e232,end,fim
,e170,endure,durar
,e025,enemy,inimigo
,e01b,enmity,inimizade
,ec5f,Enoch,Enoque
,ec60,Enos,Enos
,e242,enter,entrar
,e022,envy,inveja
,ebc1,Epaenetus,Epêneto
,ece4,Epaphras,Epafras
,ece4,Epaphroditus,Epafrodito
,ec0c,Ephesus,Éfeso
,eba4,Ephraim_land        ,Cidade_Efraim
,eba3,Ephraim_man         ,Efraim
,ec05,Epicurean,Epicureus
,e24b,equal,igual
,ec61,Er,Er
,ec0e,Erastus,Erasto
,ebc2,Esau,Esaú
,ec49,Esli,Esli
,e252,eternal,eterno
,e252,eternity,eternidade
,ec32,Ethiopia,Etiópia
,ecb3,Eubulus,Êubulo
,ecb4,Eunice,Eunice
,eb8f,eunuch,eunuco
  ,ece5,Euodia,Euodia
,ecd8,Euphrates_River,Rio_Eufrates
,eb1f,Eutychus,Êutico
,e13f,evangelist,evangelista
,ebeb,Eve,evangelista
,e273,evening,noite
,e140,everyone,todos
,e114,everything,tudo
,e155,everywhere,em_toda_parte
,e04b,exalt,exaltar
,ecf0,example,exemplo
,e059,explain,explicar
,e059,explanation,explicação
,e238,eye,olho
,e253,fabric,tecido
,e203,face,face
,ec18,Fair_Haven,Refúgio_Justo
,e06f,faith,fé
,e219,faithful,fiel
,e219,faithfulness,fidelidade
,e218,fall,cair
,e17f,false ,FALSE
,e176,family,família
,e18d,famine,fome
,e197,far ,longe
,ec83,farewell,despedida
,eb91,farm,fazenda
,e133,farmer,agricultor
,e18e,fast_no_eat,jejuar_não_comer
,e21a,fast_speed,rápida_velocidade
,ea86,fat,gordo
,eb11,fat_animal,graxa_animal
,e003,father,pai
,e056,fear,temor
,e054,feast,festa
,eb99,Felix,Félix
,e20b,festival,festival
,e19b,few,poucos
,eb91,field,campo
,eda2,fig,figo
,e283,fight,luta
,e278,fill,preencher
,e101,find,encontrar
,eba5,finger,dedo
,e232,finish,terminar
,e301,fire,fogo
,e233,first,primeiro
,e263,fish,peixe
,e264,fisherman,pescador
,e290,five,cinco
,e09d,fix,consertar
,e26b,flesh,carne
,e31d,flip,sacudir
,ece0,flood,inundar
,ea35,flour,farinha
,eb24,flower,flor
,ea8b,flute,flauta
,e25b,fly,voar
,e13e,follow,seguir
,e053,food,alimento
,ea7c,fool,tolo
,e13d,foot,pé
,e086,for,para
,e158,foreigner,estrangeiro
,eb79,foreknowledge,presciência
,ec27,forest,floresta
,e18f,forgive,perdoar
,e18f,forgiveness,perdão
,eca4,Fortunatus,Fortunato
,e318,forward,adiante
,e179,foundation,fundação
,e28f,four,quatro
,ea8a,fox,raposa
,e097,fragrant,perfumado
,e260,free,livre
,ebe4,free_no_cost,livre_sem_costo
,ec8e,Freedmen,Libertos
,e260,freedom,liberdade
,e024,friend,amigo
,ecf6,frog,rã
,e31a,from,desde
,e27e,fruit,fruta
,e0d2,fulfill,cumprir
,e276,full,cheio
,e190,futile,fútil
,e16e,future,futuro
,ec39,Gabriel,Gabriel
,ecbd,Gad,Gade
,e33f,Gadara,Gadara
,e1a3,gain,ganho
,ec0f,Gaius,Gaio
,eb46,Galatia,Galácia
,e337,Galilee,Galileia
,eb3b,Gallio,Gálio
,eb4d,Gamaliel,Gamaliel
,e289,gate,portão
,e126,gathered_people,pessoas_reunidas
,e108,gathered_things,coisas_reunidas
,eb7f,Gaza,Gaza
,e019,generation,generação
,e341,Gennesaret,Genesaré
,e158,gentile,gentios
,e26d,gentle,amável
,e26d,gentleness,gentileza
,e33f,Gerasenes,Gerasenos
,e34a,Gethsemane,Getsêmani
,ed03,Gideon,Gideão
,e072,gift,presente
,e009,girl,menina
,e00a,girls,meninas
,e086,give,dar
,ecde,glass,vidro
,e217,glorify,glorificar
,e217,glory,glória
,ea8c,gluttony,glutonaria
,e381,go ,ir
,e080,go_down,descer
,ea7d,goat,bode
,e036,God,Deus
,e130,godly,piedoso
,ecf7,Gog,Gogue
,eb2a,gold,ouro
,e34b,Golgotha,Gólgota
,ea7a,Gomorrah,Gomorra
,ebe5,gong,gongo
,e096,good,bom
,e22b,good_news,boas_novas
,e22b,gospel,evangelho
,e0a3,governor,governador
,e01f,grace,graça
,e279,grain,grão
,ecf4,grape,uva
,ea33,grass,grama
,e20e,grateful,grato
,e20e,gratitude,gratidão
,e178,grave,sepultar
,e14a,great,grande
,e345,Greece,Grécia
,ea94,greed,cobiça
,ecd1,green,verde
,e051,greeting,saudação
,e207,grieve,entristecer
,e83d,grind,moer
,e013,groom,noivo
,e153,ground,terreno
,e15b,ground_soil,solo_arável
,e154,grow,crescer
,e154,growth,crescimento
,e0c1,guard,guarda
,ea84,guilt,culpa
,ea84,guilty,culpado
,ecab,Hagar,Agar
,ea13,hail,saraiva
,ecdd,hail_storm,tormenta_granizo
,e208,hair,cabelo
,ea22,half,metade
,eb5d,Hamor,Hamor
,e071,hand,mão
 ,eb02,Hannah,Ana
,e205,happy,feliz
,eb0b,Haran_land,Harã
,e269,hard,difícil
,ecfc,harlot,prostituta
,ecc6,harp,harpa
,eca7,harsh,áspero
,e082,harvest,colheita
,e139,harvester,segador
,e01b,hate,ódio
,e083,have,ter
,e07f,have_to,tem_que
,e206,head,cabeça
,e084,heal,curar
,e144,healer,curador
,e209,health,cura
,e209,healthy,saudável
,e299,hear ,ouvir
,e29a,heart,coração
,e301,heat,calor
,e380,heaven,céu
,e0e7,heavy,pesado
,ec8f,Hebrew,Hebreus
,e28a,hedge,cerca
,ecc1,height,altura
,e018,heir,herdeiro
  ,ec44,Heli,Eli
,e0d1,hell,inferno
,e13a,help,ajudar
,e150,helper,ajudante
,e212,here,aqui
,ebc4,Hermas,Hermas
,eb2f,Hermes_idol,Hermes_ídolo
,ebed,Hermes_man,Hermes
,ecb5,Hermogenes,Hermógenes
,e360,Herod ,Herodes
,ea05,Herodians,Herodianos
,e355,Herodias,Herodias
,ebf1,Herodion,Herodião
,ea62,Hezekiah,Ezequias
,ea4f,Hezron,Hezrom
,e085,hide,esconder
,ece9,Hierapolis,Hierápolis
,e202,hill,monte
,e13b,hire,contratar
,e0e4,hit,bater
,e302,hole,orifício
,e13c,holy,santo
,e052,honey,mel
,e031,honor,honra
,e213,hope,esperança
,ecc5,horn,chifre
,e303,horse,cabalo
,e216,hosanna,Hosana
,ebc5,Hosea,Oseias
,e301,hot ,quente
,e331,hour,hora
,e171,house,casa
,e068,how,como
,e83c,how_long,quanto_tempo
,e23d,human_nature,natureza_humana
,e19d,humble,humilde
,e065,humiliate,humilhar
,e19d,humility,humildade
,e01e,hungry,faminto
,e24f,hurt,ferir
,e012,husband,esposo
,ecaa,Hymenaeus,Himeneu
,e0e3,hymn,hino
,e152,hypocrite,hipócrita
,e166,I,I
,ec1f,Iconium,Icônio
,e35d,idol,ídolo
,e378,Idumea,Idumeia
,e111,if,se
,e06e,ignorance,ignorância
,e06e,ignorant,ignorante
,ebc6,Illyricum,Ilírico
,e18c,immeasurable,imensurável
,e215,immediately,imediatamente
,ebe7,important,importante
,e180,impossible,impossível
,e25f,imprisoned,aprisionar
,e249,impure,impuro
,e240,in,em
,e112,in_front,em_frente
,ec98,incense,incenso
,e017,inheritance,herança
,e304,insect,inseto
,e240,inside,dentro
,e058,insist,insistir
,e05b,insult,insulto
,eb29,iron,ferro
,e374,Isaac,Isaque
,e372,Isaiah,Isaías
,eb05,island,ilha
,ea04,Israel,Israel
,ecce,Issachar,Issacar
,ec90,Italy,Itália
,ec3e,Ituraea,Itureia
,e375,Jacob,Jacó
,ea72,Jacob(NT),Jacó_(NT)
,e367,Jairus,Jairo
,ecbc,Jambres,Jambres
,e358,James,Tiago
,e376,James_the_Disciple,Tiago_o_Discípulo
,ec46,Jannai,Janai
 ,ecbe,Jannes,Janes
,e0d5,jar,jarra
,ec62,Jared,Jarede
,eb64,Jason,Janom
,ea66,Jechoniah,Jeconias
,ea5d,Jehoshaphat,Josafá
,ed04,Jephthah,Jefté
 ,ea28,Jeremiah,Jeremias
,ea08,Jericho,Jericó
,e338,Jerusalem,Jerusalém
,ea58,Jesse,Jessé
,e037,Jesus,Jesus
,eb03,Jesus_not_Christ,Jesus_não_Cristo
,e0f9,Jew,Judeus
,e0f9,Jewish,Judaico
,eca2,Jezebel,Jezabel
,ec4c,Joanan,Joanã
,ec63,Joanna,Joana
,ed0b,Job,Jó
,e34b,Joda,Jodá
,ec92,Joel,Joel
,e35a,John,João
,e336,John_the_Baptist,João_o_Batista
,e35a,John_the_Disciple,João_o_Discípulo
,e0c5,Jonah,Jonas
,ea29,Jonah_Simons_father,Jonas_pai_Simão
,ec9b,Jonam,Jonã
,ec2d,Joppa,Jope
,ea5e,Joram,Jorão
,e34f,Jordan_River,Rio_Jordão
,ec64,Jorim,Jorim
,ea15,Joseph,José
,ea73,Joseph(NT),José(NT)
,e369,Joses,José
,eb03,Joshua,Josué
,ea65,Josiah,Josias
,eb82,Jotham ,Jotão
,ea60,Jothan,Jothan
,e381,journey,jornada
,e205,joy,alegria
,e368,Juda ,Judas
,ea4b,Judah,Judá
,e368,Judas,Judas
,e365,Judas_Iscariot,Judas_Iscariotes
,e368,Judas_not_Iscariot,Judas_não_Iscariotes
,e368,Jude,Judas
,e339,Judea,Judeia
,e1a2,judge,juíz
,e1a2,judgment,julgamento
,ebc7,Julia,Júlia
,ec07,Julius,Júlio
,ed0a,jump,saltar
,ebc8,Junia,Júnias
,ea25,justice,justiça
,eb4f,justify,justificar
,eb6a,Justus,Justo
,e099,keep,manter
,ea9d,key,chave
,eba6,Kidron_Valley,Vale_Cedrom
,e141,kill,matar
,e01c,kind_nice,amável__gentil
,ed00,kind_same,amável_mesmo
,e01c,kindness,amabilidade
,e028,king,rei
,e02f,kingdom,reino
,eb49,Kish,Quis
,e0e8,kiss,beijo
,e138,kneel,ajoelhar
,e24e,knife,faca
,eb8b,knock,bater
,e30e,knot,atar
,e062,know,conhecer
,e062,knowledge,conhecimento
,ecf3,Korah,Corá
 ,ec65,lake,lago
,ec66,Lamech,Lameque
,e164,lamp,lámpada
,e281,lampstand,candelabro
