"","Aaron","Arão","eb0d",
"","Laodicea","Laodiceia","ebf9",
"","Lasea","Lasea","ec16",
"","last","última","e234",
"","late ","tarde","e225",
"","later","mais tarde","e225",
"","Latin","Latim","eba8",
"","laugh","rir ","e224",
"","laughter","riso","e224",
"","law","lei","e22f",
"","lawful","legal","e22f",
"","lawlessness","ilegalidade","e08f",
"","Lazarus","Lázaro","ec67",
"","lead","liderança","e137",
"","lead_astray","desviar","e17f",
"","leader","líder","e137",
"","leaf","folha","e0b3",
"","leap","saltar","ed0a",
"","learn","aprender","e22a",
"","lease","arrendamento","e175",
"","least","mínimo","e397",
"","leather","couro","e255",
"","leave","deixar","e243",
"","leaven","fermentar","e32d",
"","left","esquerda","e0f4",
"","leg","perna","ebe0",
"","Legion","Legião","e366",
"","length","comprimento","ecc2",
"","leopard","leopardo","ecf8",
"","leprosy","lepra","e382",
"","letter","carta","eb84",
"","level","nível","e0d9",
"","Levi","Levi","eb1b",
"","Levi_Matthew","Levi_Mateus","e35c",
"","Levite","Levita","eb44",
"","lie ","mentira","e17f",
"","lie_down","deitar","e121",
"","life","vida","e09f",
"","lift","levantar","e081",
"","light","luz","e0c2",
"","lightning","relâmpago","ea88",
"","like ","como","e020",
"","linen","linho","ea20",
"","Linus","Lino","ecb0",
"","lion","leão","ecb6",
"","live","viver","e09f",
"","loaf","pão","e05d",
"","locust","gafanhoto","ecd4",
"","Lois","Loide","ecb7",
"","longsuffering","longo sofrimento","e16f",
"","looks_like","parece_que","ebcd",
"","lord","senhor","e028",
"","lost","perdido","e089",
"","lot","lote","ea16",
"","Lot","Ló","ebdc",
"","lots","grande quantidade","ea16",
"","loud","em alta voz","ebe8",
"","love","amor","e01a",
"","lower_adj","baixo_adj.","e324",
"","lower_verb","baixo_verbo","e080",
"","Lucius","Lúcio","ec93",
"","Luke","Lucas","eb68",
"","lunatic","lunático","e06d",
"","lust","concupiscência","e239",
"","Lybia","Líbia","eb73",
"","Lycaonia","Licaônia","eb51",
"","Lycia","Lícia","ec13",
"","Lydda","Lida","ec2e",
"","Lydia","Lídia","eb50",
"","Lysanias","Lisânias","ec40",
"","Lysias","Lísias","ec37",
"","Lystra","Listra","eb44",
"","Maath","Maate","ec4b",
"","Macedonia","Macedônia","ec0d",
"","Magadan","Magadan","ea30",
"","magician","mágico","ec8a",
"","Magog_land          ","Magogue","ecf9",
"","Mahalalel           ","Maalalel","ec68",
"","make","fazer","e076",
"","Malchus","Malco","ebb7",
"","Malta","Malta","ec19",
"","man","homem","e000",
"","Manaen","Manaém","eb40",
"","manage","gerir","e137",
"","Manasseh","Manassés","ea63",
"","manna","maná","eba9",
"","many","muitos","e198",
"","Mark","Marcos","e371",
"","market_place","mercado","e02e",
"","marriage","matrimônio","e010",
"","Martha","Marta","ec69",
"","Mary","Maria","e354",
"","Mary_Magdalene","Maria Madalena","e353",
"","Mary_Mother_of_Jesus","Maria_Mãe_de_Jesus","e354",
"","master","mestre","e028",
"","Mattatha","Matatá","ec9c",
"","Mattathias","Matatias","ec9d",
"","Matthan","Matã","ea71",
"","Matthat","Matate","ed12",
"","Matthew","Mateus","eb04",
"","Matthias","Matias","eb04","was ebo4"
"","mattress","colchão","e122",
"","mature","maduro","e236",
"","me","eu","e166",
"","meal","refeição","e053",
"","meaning","significado","ecfa",
"","measure","medida","e305",
"","Media","Média","eb70",
"","Megiddo","Megido","ecfb",
"  ","Melchi","Melqui","ec45",
"","Melchizedek","Melquisedeque","ed05",
"","Melea","Meleá","ec6a",
"","member","membro","e174",
"","Menna","Mená","ec6b",
"","mercy","misericórdia","e01d",
"","Mesopotamia","Mesopotâmia","eb72",
"","message","mensagem","e22d",
"","messenger","mensageiro","e136",
"","Messiah","Messias","e334",
"","metal","metal","eb28",
"","Methuselah","Metusalém","ec6c",
"","Michael_angel       ","Micael","ece1",
"","Midian_land         ","Midiã","eb0f",
"","Miletus","Mileto","eb23",
"","milk","leite","eca3",
"","million","Milhão","ecd9",
"","mind","mente","e06c",
"","miracle","milagre","e095",
"","Miriam","Miriã","e385",
"","mirror","espelho","ebe6",
"","Mitylene","Mitilene","eb21",
"","Mnason","Mnasom","eb26",
"","mock","zombar","ea12",
"","Molech","Moloque","ec26",
"","money","dinheiro","e029",
"","month","mês","e34c",
"","moon","lua","e272",
"","more","mais tarde","e199",
"","morning","manhã","e163",
"","Moses","Moisés","e35b",
"","most","o mais","e229",
"","mother","mãe","e00b",
"","Mount_of_Olives","Monte_das_Oliveiras","e351",
"","Mount_Sinai","Monte_Sinai","eb5c",
"","Mount_Zion","Monte_Sião","ecf5",
"","mountain","montanha","e306",
"","mouth","boca","e03f",
"","move","mover","e32f",
"","much","muitos","e198",
"","multitude","multidão","e128",
"","murderer","assassino","ea10",
"","mustard","mostarda","e039",
"","mute","mudo","e050",
"","Myra","Mirra","ec28",
"","myrrh","mirra","e245",
"","Mysia","Mísia","eb4a",
"","mystery","mistério","e18b",
"","Naaman","Naamã","ec6d",
"","Naggai","Nagai","ec4a",
"","Nahor","Naor","ec6e",
"","Nahshon","Naassom","ea52",
"","Nahum","Naum","ec48",
"","nail","unha","ebaa",
"","Nain","Naim","ea48",
"","name","nome","e04f",
"","Naphtali","Naftali","ea40",
"","Narcius","Narcius","ebc9",
"","Nathan","Natã","ec6f",
"","Nathanael","Natanael","ec6f",
"","nation","nação","e0a2",
"","Nazareth","Nazaré","e34e",
"","near","perto","e300",
"","neck","pescoço","e0d3",
"","need","necessidade","e07f",
" ","needle","agulha","e078",
"","neighbor","vizinho","e173",
"","Neopolis","Neopolis","eb4e",
"","Nereus","Nereu","ebca",
"","Neri","Neri","ec70",
"","net","rede","e307",
"","new","novo","e308",
"","news","novas","e22d",
"","next","próximo","ebf2",
"","Nicanor","Nicanor","eb55",
"","Nicodemus","Nicodemos","ebab",
"","Nicolaus","Nicolaus","eb56",
"","Nicopolis","Nicópolis","ed08",
"","night","noite","e272",
"","nine","nove","e294",
"","Nineveh","Nínive","e0c6",
"","no","não","e17c",
"","Noah","Noé","ea43",
"","noise","ruído","ebe9",
"","north","norte","ea74",
"","nose","nariz","e309 ",
"","not","nem","e17c",
"","now","agora","e215",
"","number","número","e0b7",
"  ","Nympha              ","Ninfa","ecea",
"","Obed","Obede","ea56",
"","obedience","obediência","e04e",
"","obey","obedecer","e04e",
"","ocean","oceano","e14d",
"","offering","oferta","e03a",
"","oil","óleo","e030",
"","old","velho","e189",
"","olive","oliva","eda1",
"","Olympus","Olimpo","ebcb",
"","on","em ","e113",
"","on_top_of","por cima","e113",
"","one","um","e28c",
"","Onesimus","Onésimo","ecb8",
"","Onesiphorus","Onesíforo","ecb8",
"","only","só","e223",
"","open","aberto","e18a",
"","oppose","opor","e330",
"","or","ou","e106",
"","order","ordem","ebe7",
"","other","outro","e184",
"","out","for a","e241",
"","outside","lá for a","e241",
"","over","sobre","e110",
"","owe","dever","ea49",
"","own","próprio","eced",
"","ox","boi","ea85",
"","pain","dor","e24f",
"","Pamphylia","Panfília","eb6e",
"","Paphos","Pafos","eb9f",
"","parable","parábolas","e22d",
"","paralyze","paralisar","e131",
"","Parmenas","Pármenas","eb57",
"","part ","parte","e29b",
"","Parthia             ","Partos","eb0a",
"","party","festa","e20b",
"","pass","passar","e10b",
"","passion","paixão","ebac",
"","Passover","Páscoa","e20d",
"","past","passado","e16d",
"","pastor","pastor","ecc3",
"","Patara","Pátara","ec23",
"","path","caminho","e23c",
"","patience","paciência","e16f",
"","patient","paciente","e16f",
"","Patmos","Patmos","ebf4",
"","Patrobas","Pátrobas","ebcc",
"","pattern","padrão","ecf0","was ecfo pattern not in pw76"
"","Paul","Paulo","e377",
"","pavement","calçada","ebad",
"","peace","paz","e123",
"","Peleg","Pelegue","ec71",
"","pen","caneta","e29c",
"","pentecost","pentecostes","ec81",
"","Pentecost","Pentecostes","ec81",
"","people","pessoas","e127",
"","perceive","perceber","e06a",
"","Perez","Perez","ea4c",
"","perfect","perfeito","ecec",
"","perfume","perfume","e097",
"","Perga","Perge","eb47",
"","Pergamum            ","Pérgamo","ebf6",
"","permission","permissão","e04a",
"","permit","permitir","e04a",
"","persecute","perseguir","e03e",
"","persecution","perseguição","e03e",
"","Persis","Pérside","ebce",
"","person","pessoa ","e11f",
"  ","Phanuel","Fanuel","ec3c",
"","Pharaoh","Faraó","ec94",
"","Pharisee","Fariseu","e383",
"","Philadelphia","Filadélfia","ebf8",
"","Philemon","Filemom","ecf2",
"","Philetus","Fileto","ecac",
"","Philip ","Filipe","e361",
"","Philippi","Filipos","e347",
"","Philologus","Filólogo","ebcf",
"","philosopher","filósofo","ec04    ",
"","Phlegon","Flegonte","ebd1",
"","Phoebe","Febe","ebd2",
"","Phoenicia","Fenícia","e343",
"","Phoenix","Fenice","ec29",
"","Phrygia","Frígia","eb76",
"","Phygelus","Fígelo","ecb9",
"","pig","porco","e30a",
"","pigeon","pomba","e0b6",
"","Pilate","Pilatos","e36f",
"","pillar","pilar","eca8",
"","pillow","travesseiro","e26c",
"","Pisidia","Písida","eb97",
"","plan","plano","e06b",
"","plant","plantar","e244",
"","plate","prato","e386",
"","platter","escudela","e386",
"","plow","arado","ec72",
"","Pontus","Ponto","eb75",
"","poor","pobre","ea3a",
"","porch","pórtico","eb5e",
"","Porcius","Pórcio","ec38",
"","possible","possível","e098",
"","pour","derramar","e0d6",
"","power","poder","e124",
"","praise","louvor","e04b",
"","pray","orar","e05e",
"","prayer","oração","e05e",
"","preach","pregar","e04d",
"","preacher","pregador","e134",
"","preaching","pegação","e04d",
"","precious","precioso","ea37",
"","pregnant","grávido","e0a5",
"","prepare","preparar","e091",
" ","press","pressão","e228",
"","pretend","fingir","e094",
"","prevail","prevalecer","eb14",
"","pride","orgulho","e14b",
"","priest","sacerdote","e03b",
"","prince","principe","eb61",
"","priority","prioridade","ebe7",
"","Priscilla","Priscila","eb18",
"","prison ","cárcere","e172",
"","prisoner","preso","e145",
"","Prochorus","Prócoro","eb53",
"","proconsul","procônsul","e0a3",
"","profit","lucro","e035",
"","promise","pormessa","e37a",
"","prophesy","profetizar","e23b",
"","prophet","profeta","e135",
"","prostitute","prostituta","ecfc",
"","proud","orgulhoso","e14b",
"","proverb","provérbio","ec73",
"","Psalm","salmo","e0e2",
"","Ptolemais","Ptolemaida","ec08",
"","Publius","Públio","ec1a",
"","Pudens","Prudente","ecba",
"","pure","puro","e248",
"","purple","púpura","e286",
"","purpose","propósito","e066",
"","put","pôr","e07e",
"","Put","Pôr","e07e",
"","Puteoli","Putéoli","ec1e",
"","Pyrrhus","Pirro","eb1c",
"","Quartus","Quarto","ebd3",
"","queen","rainha","eb15",
"","questioned","questionado","e061",
"","quiet","quieto","e185",
"","Quirinius","Quirino","ec3b",
"","Rachel","Raquel","ea41",
"","Rahab","Raabe","ea55",
"","rain","chuva","ea3e",
"","rainbow","arco Iris","ecdc",
"","Ram","Rão","ea50",
"","Ramah","Ramá","ea42",
"","read","ler","e22a",
"","reason","razão","e066",
"","Rebekah","Rebeca","ebd4",
"","rebellion","rebelião","e193",
"","rebuke","repreender","e060",
"","receive","receber","e1a3",
"","reckon","calcular","ebc0",
"","reconcile","conciliar","e026",
"","red","vermelho","e287",
"","redeem","redimir","e02c",
"","redemption","rendenção","e02c",
"","reed","junco","ea26",
"","Rehoboam","Roboão","ea5a",
"","reject","rejeitar","e193",
"","relative","relativo","e176",
"","religion","religião","ec33",
"","remain","permanecer","e83b",
"","remember","lembrar","e0d8",
"","repeat","repetir","e049",
"","repent","Arrepender-se","e320",
"","repentance","arrependimento","e320",
"","report","informe","e22d",
"","rescue","resgatar","e214",
"","rest","descansar","e121",
"","result","resultado","e237",
"","resurrect","ressucitar","e329",
"","resurrection","ressurreição","e329",
"","Reu","Reú","ec74",
"","Reuben","Rúben","ecc0",
"","reveal","revelar","e162",
"","revenge","vingança","ed0c",
"","revile","insultar","e055",
"","reward","recompensa","e02d",
"","Rhegium","Régio","ec1d",
"","Rhesa","Resa","ec75",
"","Rhoda","Rode","eb92",
"","Rhodes","Rodes","eb25",
"","right","reto","e0f3",
"","right_time","tempo certo","ed10",
"","righteous ","justo","e090",
"","righteous_person","pessoa_justa","e130",
"","righteousness","justiça","e090",
"","ring","anel","ebdf",
"","ripe ","maduro","e236",
"","ripen","amadurecer","e154",
"","river","rio","e30b",
"","road","estrada","e23c",
"","robber","ladrão","e0e9",
"","rock","rocha","e26a",
"","Rome","Roma","eb16",
"","room","quarto","eb06",
"","rooster","galo","e25d",
"","root","raiz","e15c",
"","rough","rude","ec99",
"","Rufus","Rufo","e36e",
"","ruler","régua","e028",
"","run","corre","e258",
"","Ruth","Rute","ea57",
"","Sabbath             ","sábado","e160",
"","sacrifice","sacrifício","e0b5",
"","sad","triste","e207",
"","Sadducee","Saduceus","ea03",
"","said","disse","e03f",
"","sail","vela","e267",
"","saint","santo","e130",
"","Salamis","Salamina","ebe1",
"","Salathiel","Salatiel","ec76",
"","Salim","Salim","ebae",
"","Salmon","Salmom","ea53",
"","Salmone","Salmona","ec15",
"","Salome","Salomé","e379",
"","salt","sal ","e046",
"","salvation","salvação","eb80",
"","Samaria","Samaria","ea83",
"","Samaritan","Samaritana","ea7b",
"","same","mesmo","e24b",
"","Samos","Samos","ec25",
"","Samothrace","Samotrácia","eb4c",
"","Samson","Sansão","ed06",
"","Samuel","Samuel","eb8e",
"","sanctuary","santuário","eb01",
"","sand","areia","ecfd",
"","Sapphira","Safira","eb66",
"","Sarah","Sara","ebd5",
"","Sardis","Sardes","ebf7",
"","Satan","Satanás","e335",
"","Saul","Saul","eb54",
"","save","salvar","e214",
"","savior","salvador","ec85",
"","scatter","dispersar","ea34",
"","Sceva","Ceva","eb19",
"","scorpion","escorpião","ec77",
"","scribe","escriba","e12c",
"","Scripture ","Escritura","e22c",
"","Scythia","Cita","eceb",
"","sea","mar","e14d",
"","Sea_of_Galilee","Mar_da_Galileia","e350",
"","Sea_of_Reeds        ","Mar_de_Vermelho","eb0c","was Sea_of_Red"
"","Sea_of_Tiberias","Tiberíades","ebaf",
"","seal","selo","E221",
"","sealed","selado","e221",
"","search","procurar","e074",
"","secret","secredo","e186",
"","sect","seita","ec33",
"","Secundus","Secundo","eb1d",
"","see","ver ","e238",
"","seed","semear","e27a",
"","Seleucia","Selêucia","eb42",
"","self","mesmo","ea95",
"","sell","vender","e32b",
"","Semien","Not_found","ec9e","changed to Not_found"
"","send","enviar","e075",
"","sensuality","sensualidade","e239",
"","separate","separar","e326",
"","Sergius","Sérgio","eb45",
"","Serug","Serugue","ec78",
"","servant","servo","e12d",
"","serve","servir","e08e",
"","Seth","Sete","ec79",
"","seven","sete","e292",
"","sew","costurar","e077",
"","sex","sexo","ea87",
" ","sexual_desire","desjo_sexual","e239",
"","shade","sombra","e079",
"","shake","agitar","e27d",
"","shame","vergonha","e065",
"","share","compartilhar","e07a",
"","Sharon","Sarom","ec2b",
"","sharp","afiado","ebf3",
"","shave","barbear","eb27",
"","Shealtiel","Sealtiel","ea68",
"","Shechem_city        ","Siquém","ec95",
"","sheep","ovelha","e270",
"","Shelah","Selá","ec7a",
"","Shem","Sem ","ec7b",
"","Sheol","Inferno","e0c9",
"","shepherd","pastor","e271",
"","shield","escudo","e388",
"","shoe","sapato","e12e",
"","shout","gritar","e149",
"","show","mostrar","e162",
"","sick","doente","e20a",
"","side","lado","e10d",
"","Sidon_city          ","Sidom","e33c",
"","sigh","suspiro","e047",
"","sign","sinal","e0a9",
"","Silas","Silas","eb41",
"","silence","silêncio","e185",
"","Siloam_city         ","Siloé","ebb1",
"","Silvanus","Silvano","eca9",
"","silver","prata","eb2b",
"","Simeon","Simeão","ea47",
"","Simon","Simão","ea47",
"","Simon_Jesus_Brother ","Simão_irmão de_Jesus","ea92",
"","Simon_of_Cyrene","Simão_de_Cirene","e37c",
"","Simon_Peter","Simão_Pedro","e356",
"","Simon_the_Canaanite","Simão_o_Zelote","e364",
"","Simon_the_Leper","Simão_o_Leproso","e0f8",
"","sin","pecado","e08f",
"","sinful","pecaminoso","e08f",
"","sing","cantar","e0e2",
"","sinner","pecador","e151",
"","sister","irmã","e00e",
"","sisters","irmãs","e00f",
"","sit","sentar","e298",
"","six","seis","e291",
"","skull","crânio","e20f",
"","sky","céu","ec8b",
"","slave","escravo","e10e",
"","sleep","dormir","e121",
"","slow","lento","e19c",
"","slow","lento","e19c",
"","small","pequeno","e19b",
"","smaller","menor","e32e",
"","smallest","diminuto","e397",
"","smell","cheiro","e309 ",
"","smoke","fumaça","ec03",
"","smooth","suave","ec9a",
"","Smyrna","Esmirna","ebf5",
"","snake","serpente","e30c",
"","snow","neve","ebfb",
"","Sodom","Sodoma","ea8e",
"","soft","suave","e268",
"","soil","solo","e15b",
"","sojourner","peregrino","e158",
"","soldier","soldado","e12f",
"","Solomon","Salomão","ea32",
"","some ","alguns","e29b",
"","son","filho","e004",
"","Son_of_Man","Filho_do_Homem","e352",
"","song","canção","e0e2",
"","sons","filhos","e005",
"","Sopater","Sópatro","ec20",
"","sorcery","feitiçaria","ec8c",
"","Sosipater","Sosípatro","ec20",
"","Sosthenes","Sóstenes","eb3c",
"","soul","alma","e10f",
"","sound","som ","ebe9",
"","south","sul","ea31",
"","sow","semear","e07d",
"","sower","semeador","e133",
"","Spain","Espanha","ebd6",
"","speak","falar","e03f",
"","spend","passar","e32a",
"","spice","apimentar","ecfe",
"","spirit","espírito","e187",
"","spit","cuspir","e048",
"","split","dividido","e326",
"","sponge","esponja","ea18",
"","spot","sitio","ed01",
"","spy","espião","ed07",
"","Stachys","Estáquis","ebd7",
"","staff","pessoal","e14c",
"","stair","escada","e0d9",
"","stand","ficar de pé","e32c",
"","star","estrela","e0c3",
"","start","começar","e231",
"","stay","estada","e83b",
"","steal","roubar","e07b",
"","stem","haste","ea01",
"","Stephanas","Estéfanas","ebea",
"","Stephen","Estêvão","eb6b",
"","stern","severo","e266",
"","stern_words","palavras_severas","eca7",
"","stewardship","mordomia","e07c",
"","stick","vara","e398",
"","Stoic","estóico","ec06",
" ","stomach","estômago","e0c8",
"","stop","parar","e073",
"","storehouse","armazém","ec43",
"","storm","tempestade","e27c",
"","story","história","e22d",
"","straight","direito","e313",
"","stranger","desconhecido","e069",
"","strangled","estrangulado","eb33",
"","stream","corrente","e30b",
"","stretch","esticar","e31c",
"","string","corda","ecc7",
"","strong","forte","e08a",
"","stumble","tropeçar","e257",
"","stumbling_block","predra_de_tropeço","ea27",
"","suffer","sofrer","e222",
"","suffering","sofrimento","e222",
"","summer","verão","e0c4",
"","sun","sol ","e15f",
"","sundown","pôr do sol","e161",
"","Susanna","Suzana","ec7c",
"","sweet","doce","e30d",
"","sword","espada","e282",
"","synagogue","sinagoga","e0b9",
"","Syntyche","Síntique","ece6",
"","Syracuse","Siracusa","ec1c",
"","Syria","Síria","e342",
"","tabernacle","tabernáculo","eb32",
"","table","mesa","e280",
"","tail","cauda","ecd6",
"","take","tomar","e088",
"","Tamar","Tamar","ea4e",
"","Tarsus","Tarso","ec30",
"","taste","provar","ea07",
"","tax","imposto","e02b",
"","tax_collector","coletor de imposto","e12a",
"","teach","ensinar","e04c",
"","teacher","professor","e12b",
"","teaching","ensino","e04c",
"","teeth ","dente","e0b1",
"","temple","templo","e03d",
"","tempt","tentado","e183",
"","temptation","tentação","e183",
"","ten","dez","e295",
"","tent","tenda","eb32",
"","Terah_man           ","Tera","ec7d",
"","Tertius","Tércio","ebee",
"","Tertullus","Tértulo","eb9b",
"","test","teste","ec21",
"","testimony","testemunho","e22e",
"","Thaddaeus","Tadeu","e37b",
"","thank","graças","e20e",
"","that","aquele","e184",
"","them","eles","e125",
"","Theophilus","Teófilo","eb67",
"","therefore","portanto","e066",
"","Thessalonica","Tessalônica","eb12",
"","Theudas","Teudas","eb71",
"","they","eles","e125",
"","thief","ladrão","e0e9",
"","thigh","coxa","ed0d",
"","thing","coisa","e105",
"","think","pensar","e06c",
"","think_opinion","pensar_opinião","e06c",
"","think_wonder","pensar_maravilha","e06c",
"","thirst","sede","eccf",
"","thirsty","sedento","eccf",
"","this","esta ","e226",
"","Thomas","Tomé","e363",
"","thorn","espinho","e27b",
"","thought","pensamento","e06c",
"","thousand","mil","e296",
"","three","três","e28e",
"","threshing","debulha","ea39",
"","threshing_floor","eira","ec42",
"","throne","trono","ec84",
"","through","através","e10b",
"","throw","lançar","e327",
"","thunder","trovão","e044",
"","Thyatira","Tiatira","eb52",
"","Tiberias_city       ","Tiberíades","ebb0",
"","Tiberius_man        ","Tibério","ec3d",
"","tie","gravata","e30e",
"","Timaeus","Timeu","e36c",
"","time","tempo","e16a",
"","times","tempos","e049",
"","Timon","Timão","ec96",
"","Timothy","Timóteo","ec02",
"","tithe","dízimo","ed0f",
"","Titus","Tito","eb38",
"","to","para ","e318",
"","to_clothe","vestir","e147",
"","to_plant","plantar","e07d",
"","together_people","pessoas_juntas","e126",
"","together_things","coisas_juntas","e108","used gathered_things as primary"
" ","tomb","túmulo","e178",
"","tongue","língua","e045",
"","tool","ferramenta","eb34",
"","touch","tocar","e10c",
"","tower","torre","e30f",
"","Trachonitis","Traconites","ec3f",
"","transfiguration","transfiguração","e31f",
"","transfigure","transfigurar","e31f",
"","travel","viagem","e381",
"","tree","árvore","e244",
"","trial","provação","ec87",
"","tribe","tribu","ea81",
"","tribulation","tribulação","e03e",
"","trip","viagem","e381",
"","triumph","triunfo","eb14",
"","Troas","Trôade","ec0b",
"","Trophimus","Trófimo","eb1e",
"","trouble","problema","e333",
"","true ","verdadeiro","e09c",
"","trumpet","trompete","ea79",
"","trust","confiar em","e023",
"","truth","verdade","e09c",
"","try","experimentar","eb94",
"","Tryphaena","Trifena","ebd8",
"","Tryphosa","Trifosa","ebd9",
"","turn","virar","e31e",
"","twin","gêmeo","ec1b",
"","two","dois","e28d",
"","Tychicus","Tíquico","ecbb",
"","type","tipo","ed00",
"","Tyrannus","Tirano","eb3f",
"","Tyre","Tiro","e33b",
"","unbelief","incredulidade","e194",
"","under","debaixo","e10a",
"","understand","entender","e063",
"","understanding","entendimento","e063",
"","unity","unidade","e297",
"","unleavened","não levedado","e043",
"","unrighteous","injusto","e08f",
"","unrighteousness","injustiça","e08f",
"","untie","desatar","e37f",
"","until","até","e16c",
"","up","acima","e315",
"","Urbanus","Urbano","ebda",
"","Uriah","Urias","ea46",
"","us","nos","e167",
"","use","usar","e08d",
"","useful","útil","e08d",
"","useless","inútil","e190",
"","Uzziah","Uzias","ea5f",
"","valley","vale","eba7",
"","value","valor","e09b",
"","vendor","vendedor","e0b4",
"","vengeance","vingança","ed0c",
"","very","muito","e211",
"","victory","vitória","eb14",
"","village","vila","e19a",
"","vine","vinho","ec91",
"","vineyard","vinhedo","e27f",
"","virgin","virgem","ea7e",
"","vision","visão","ea80",
"","visit","visita","e25a",
"","voice","voz","e042",
" ","waist","cintura","e391",
"","wait","esperar","ea11",
"","walk","caminhar","e256",
"","wall","parede","e288",
"","want","quer","e020",
"","war","guerra","e283",
"","warn","advertir","e19e",
"","wash","lavar","e08b",
"","watchman","guarda","e0a8",
"","watchtower","atalaia","e23a",
"","water","água","e247",
"","wave","onda","e328",
"","way","caminho","e23c",
"","we","nós","e167",
"","weak","fraco","ea24",
"","wealth","riqueza","e029",
"","wealthy","rico","e029",
"","weary","cansado","ebfe",
"","wedding","casamento","e011",
"","week","semana","ebb2",
"","weigh","pesar","e0e6",
"","weight","peso","e0e6",
"","well","bem","ebb3",
"","west","oeste","ea89",
"","wet","molhado","e247",
"","what","o que","e109",
"","wheat","trigo","e279",
"","when","quando","e16a",
"","where","onde","e15a",
"","whip","chicote","e310",
"","whisper","sussurro","e186",
"","white","branco","e285",
"","who","quem","e1a1",
"","whole","completo","e251",
"","why","porque","e067",
"","wide","amplo","ecc4",
"","widow","viúva","e016",
"","wife","esposa","e014",
"","wild ","selvagem","e17e",
"","wilderness","selva","e156",
"","will","vai","e020",
"","wind","vento","e220",
"","window","janela","e311",
"","wine","vinho","e275",
"","wing","asa","eb7d",
"","wings","asas","eb7d",
"","winnowing_fork","garfo_de_tração","ec41",
"","winter","inverno","e16b",
"","wisdom","sabedoria","e064",
"","wise","sábio","e064",
"","with","com ","e24c",
"","witness","testimunha","e22e",
"","woman","mulher","e008",
"","wood","madeira","e244",
"","wool","lã ","ebfa",
"","word","palavra","ebb4",
"","Word","Palavra","ebb8",
"","Word_of_God","Palavra_de_Deus","e22c",
"","work","trabalho","e08c",
"","world","mundo","e129",
"","worm","minhoca","ea06",
"","Wormwood","absinto","ecd3",
"","worry","preocupação","e056",
"","worse","pior","e182",
"","worship","adoração","e04b",
"","worth","vale a pena","e09b",
"","worthy","digno","e09b",
"","wrap","envolver","ea19",
"","wrath_of_God","ira_de_Deus","e02a",
"","write","escrever","e29c",
"","writer","escritor","e12c",
"","wrong","errado","ea02",
"","Yahweh","Yahweh_Jeová","e0c7","changed toYahweh_Jeová"
"","year","ano","e15e",
"","yellow","amarelo","ecdb",
"","yes","sim","e09a",
"","yoke","jugo","eb09",
"","you","você","e314",
"","young","jovem","e0f1",
"","Zacchaeus","Zaqueu","ec7e",
"","Zadok","Zadoque","ea6d",
"","Zarephath","Sarepta","ec7f",
"","Zebedee","Zebedeu","e359",
"","Zebulun","Zebulom","ea3f",
"","Zechariah","Zacarias","ea98",
"","Zenas","Zenas","ed09",
"","Zerah","Zera","ea4d",
"","zero","zero","e28b",
"","Zerubbabel","Zorobabel","ea69",
"","Zeus","Júpiter","eb2d",
"","period","period","e37e",
"","pos","pos","e390",
"","*","*","e390",
"","pn","pn","ed11",
