,,Abilene,ec4d,Luke,2,"grass: land,ground,earth",
,,Adam,ec4f,Luke,2,"man: soil,dirt,ground_soil: land,ground",
,,Addi,ec50,Luke,2,"man: mouth,speak,said: me,i",
,,Admin,ec51,Luke,2,"man: arise,ascend",
,,Amos,ec47,Luke,2,"man: make,create: hand: person",
,,Arni,ec52,Luke,2,"man: good: happy,joy",
,,Arphaxad,ec53,Luke,2,"man: no,not: hand",
58,,Asher,ebde,Luke,2,"Man: happy,joy",
58,,Asher_land,ebdd,Luke,2,"Man: happy,joy: land,ground,earth",
,,awake,ec54,Luke,1,"end,finish: rest,sleep,lie_down",
,,bank,ec55,Luke,1,"house: money,wealth,wealthy: hand",
,,breathe,e047,Luke,1,"mouth,said,speak: air",sigh
,,bribe,ebdb,Luke,1,"No,not: to,forward: good: money wealth,wealthy",
,,Cainan,ec56,Luke,2,man: have: hand: .,
,,Chuza,ec57,Luke,2,"man: small,few: mouth,speak,said",
,,Cleopas,ec58,Luke,2,"man: all,whole: know,knowledge",
,  ,Cosam,ec59,Luke,2,man: many,
,,Eber  ,ec5a,Luke,2,"man: through,pass: thing: to,forward",
,,elect,ec9f,Luke,1,"choose: love,compassion: or: people",
,  ,Eli,ec44,Luke,2,man: up,Heli
,,Eliezer,ec5b,Luke,2,"man: me,i: help: straight: people",
,,Elisha,ec5c,Luke,2,"man: can,power,ability: person: knife,cut",
,,Elizabeth,ec3a,Luke,2,"woman: promise: mouth,speak,said: work: very",
,,Elmadam,ec5d,Luke,2,man: stretch,
,,Emmaus,ec5e,Luke,2,"fire,heat,hot: wet,water: village: many: neighbor: house: near",
,,Enoch,ec5f,Luke,2,"man: teach,teaching: mouth,speak.said: book,learn,read",
,,Enos,ec60,Luke,2,"man: dead,death,die: no,not: heart",
,,Er,ec61,Luke,2,"man: beautiful,beauty: eye,see: good",
,,Esli,ec49,Luke,2,man: side: thing,
,,Gabriel,ec39,Luke,2,"big: angel: good: spirit: no,not: person",
,,Gamaliel,eb4d,Luke,2,"man: scripture,bible,word of god: book,learn,read: cross",
,  ,Heli,ec44,Luke,2,man: up,Eli
,,humiliate,e065,Luke,1,"know,knowledge: bad: no,not: good: me,i",shame
,,incense,ec98,Luke,1,"perfume,fragrant: good: nose,smell: gift: hand: love,compassion",
,,Ituraea,ec3e,Luke,2,"through,pass: land,ground,earth",
,,Jannai,ec46,Luke,2,man: ?,
,,Jared,ec62,Luke,2,man: down,
,,Joanan,ec4c,Luke,2,man,
,,Joanna,ec63,Luke,2,woman,
,,Joda,e34b,Luke,2,"man: exalt,praise,worship: mouth,said,speak: good",Golgotha
,,Jonam,ec9b,Luke,2,man: you: good,
,,Jorim,ec64,Luke,2,"man: very: praise,worship,exalt: mouth,said,speak: good",
, ,lake,ec65,Luke,1,"small,few: wet,water",
,,Lamech,ec66,Luke,2,man: arm: big,
,,Lazarus,ec67,Luke,2,"man: crown,ruler,king,lord: mouth,said,speak",
58,,Lot,ebdc,Luke,2,Man: gathered(things),
,,Lysanias,ec40,Luke,2,"man: crown.ruler,king,lord: happy,joy",
,,Maath,ec4b,Luke,2,"man: time,when",
,,Mahalaleel,Ec68,Luke,2,"man: very: yes,correct",
,,Martha,ec69,Luke,2,"woman: crown,ruler,king,lord: mouth,said,speak",
,,Mattatha,ec9c,Luke,2,"man: dry: no,not: wet,water: land,ground,earth",Matthias
,,Mattathias,ec9d,Luke,2,"man: bright: very: day,sun",
,,Matthat,ed12,Luke,2,"man: thing: take,bring,carry: hand",
,  ,Melchi,ec45,Luke,2,"man: me,i: crown,ruler,king,lord",
,,Melea,ec6a,Luke,2,"man: person: love,compassion",
,,Menna,ec6b,Luke,2,"man: hard: no,not: soft",
,,Methuselah,ec6c,Luke,2,"man: send: hand: to,forward",
,,month,e34c,Luke,1,"backward: land,ground,earth: to,forward: around: day,sun",
,,Naaman,ec6d,Luke,2,"man: very: kind,kindness: love,compassion: good",
,,Naggai,ec4a,Luke,2,"man: yes,correct: good",
,,Nahor,ec6e,Luke,2,man: air,
,,Nahum,ec48,Luke,2,"man: prophet: person: prophesy: eye,see: to,forward",
,,Nathan,ec6f,Luke,2,"man: give,for: gift: hand: love,compassion: to,forward",Nathaniel
,,Neri,ec70,Luke,2,"man: very: eye,see",
,,news,e22d,Luke,1,"book,learn,read: mouth,said,speak",story:message:parable:report
,,Peleg,ec71,Luke,2,"man: knife,cut",
,  ,Phanuel,ec3c,Luke,2,man: face,
,,plow,ec72,Luke,1,"knife: dirt,soil,ground_soil: land,ground,earth",
,,proconsul,e0a3,Luke,1,"Small: crown,ruler,king,lord",governor
,,proverb,ec73,Luke,1,"mouth,said,speak: or",
,,Quirinius,ec3b,Luke,2,"man: governor: small,few: crown,ruler,king,lord",
,,report,e22d,Luke,1,"book,learn,read: mouth,said,speak",story:message:news:parable
,,Reu,ec74,Luke,2,"man: mouth,said,speak",
,,Rhesa,ec75,Luke,2,"man: choose: love,compassion: or",
,,ring,ebdf,Luke,1,Around: hand,
,,rough,ec99,Luke,1,"many: no,not: smooth: good: straight",
,,Salamis,ebe1,Luke,2,"wet,water: up: village: many: neighbor: house: near",
,,Salathiel,ec76,Luke,2,"man: because,purpose,reason,therefore: know,knowledge:?",
,,scorpion,ec77,Luke,1,"knife,cut: insect",
,,Semien,ec9e,Luke,2,man: very: have: hand: .,
,,Serug,ec78,Luke,2,"man: branch: plant,tree,wood",
,,Seth,ec79,Luke,2,"man: beckon,call: mouth,said,speak: near",
,,Shelah,ec7a,Luke,2,"man: sleep,rest,lie_down: love,compassion",
,,Shem,ec7b,Luke,2,"man: mouth,said,speak: me,I",
58,,Siloam,ebb1,Luke,2,"Hand: to,forward: village: many: neighbor: house: near",
,,smooth,ec9a,Luke,1,many: good: straight,
,,storehouse,ec43,Luke,1,"house: eat,food,meal: mouth,said,speak: thing",
,,Susanna,ec7c,Luke,2,woman: good: flower,
,,Terah,ec7d,Luke,2,man: goat: sheep: bone: soft,
,,think_opinion,e06c,Luke,1,"know,knowledge: head: face",thought:mind:think:think_wonder
,,think_wonder,e06c,Luke,1,"know,knowledge: head: face",thought:mind:think:think_opinion
,,threshing_floor,ec42,Luke,1,"house: split,divide,division,separate: grain,wheat",
,,Tiberius,ec3d,Luke,2,man: river,
,,Trachonitis,ec3f,Luke,2,"hard: no,not: soft: land,ground,earth",
,,tribulation,e03e,Luke,1,"cross: very: hurt,pain: knife,cut: heart",persecute:persecution
,,winnowing_fork,ec41,Luke,1,"grain,wheat: air: tool",
,,Zacchaeus,ec7e,Luke,2,"man: pure,clean: wet,water: good",
,,Zarephath,ec7f,Luke,2,metal: village: many: neighbor: house: near,
